Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.486572,-0.244141,-0.946167,-117.492668,-522.583008,-31.005857
-0.084106,0.338379,0.511963,-158.508301,-549.133301,-68.664551
-0.858154,0.67395,2.401978,-122.13134,-489.440887,-102.844231
-1.223877,0.577759,3.687012,12.817382,-197.26561,-42.175289
-0.965332,0.555054,3.494873,100.769035,206.665024,17.028809
-0.696167,0.271484,2.060425,110.595695,394.165009,2.258301
-0.47522,-0.091675,1.11499,100.646965,407.104462,13.916015
-0.000122,-0.144653,0.119263,106.811516,395.507782,44.921871
1.204224,-0.192871,-1.583618,138.549805,247.985825,73.913574
2.120605,-0.344482,-2.840454,87.341301,-118.896477,53.771969
1.29187,-0.230713,-1.949707,-47.607418,-474.182098,-15.86914
0.049561,0.075439,-0.142212,-161.315903,-544.372559,-78.186035
-1.069336,0.349487,1.783936,-190.368637,-501.708954,-111.572258
-2.051147,0.536743,3.999878,-92.163078,-217.895493,-87.158195
-1.539551,0.70459,3.98938,-20.446775,40.710445,-69.580078
-1.274902,0.173584,2.275391,61.523434,468.017548,-64.819336
-0.755249,-0.280518,0.331299,118.10302,515.563965,-3.173828
1.330322,0.090698,-1.726074,224.548325,349.853485,133.544922
3.064819,0.285156,-2.746216,230.895981,62.011715,143.066406
1.502441,-0.077759,-1.786255,43.151852,-277.34375,-25.085447
-0.174683,-0.258545,-0.20105,-91.308586,-488.281219,-121.276848
-0.795044,-0.012817,1.060669,-145.935059,-492.187469,-133.056641
-1.323364,0.21521,2.501099,-160.339355,-405.944794,-133.911133
-1.264282,0.2323,2.839966,-86.608879,-185.913071,-100.46386
-0.636963,0.10791,1.796509,14.343261,58.593746,-45.471188
-0.371948,-0.093628,1.067139,34.667969,137.512207,-5.004883
-0.196655,-0.127441,0.908813,27.526854,119.445793,23.742674
0.036743,-0.01416,0.914062,22.827147,101.074211,37.658691
0.150146,0.059814,1.015869,17.822266,98.632805,28.137205
0.151001,0.022827,1.039795,16.540527,109.741203,2.868652
0.176025,-0.033813,0.958496,21.850584,122.192375,-1.159668
0.224365,-0.018921,0.900757,27.038572,124.633781,8.605957
0.29187,0.007446,0.967773,22.033689,123.779289,3.479004
0.254028,0.033569,1.297729,17.456055,138.793945,-5.92041
0.17334,-0.033691,1.538574,-1.831055,209.167465,-25.085447
0.115845,-0.045044,1.442871,-23.315428,318.17627,-29.846189
0.070923,-0.098999,1.293579,-25.634764,397.155731,-46.752926
0.208008,-0.117188,0.927368,-19.65332,476.80661,-46.081539
0.409302,-0.204346,0.423828,-23.315428,539.0625,-38.208008
0.619873,-0.168335,0.178833,-42.236324,516.357422,-25.939939
0.489014,-0.201538,0.232666,-52.978512,483.215302,-24.353025
0.465088,-0.265869,0.005127,-37.536621,501.159637,-2.01416
0.562134,-0.30127,-0.424805,-41.015621,509.155243,30.944822
0.68396,-0.231567,-0.559326,-40.954586,396.057098,62.683102
0.736328,-0.085449,-0.320801,-38.513184,288.513184,68.603516
